12Z 24 Apr 2017, 0.00, 4.39
00Z 25 Apr 2017, 0.00, 5.10
12Z 25 Apr 2017, 0.00, 14.03
00Z 26 Apr 2017, 0.00, 23.25
12Z 26 Apr 2017, 0.00, 33.49
00Z 27 Apr 2017, 0.00, 31.60
12Z 27 Apr 2017, 0.00, 16.64
00Z 28 Apr 2017, 2.24, 9.60
12Z 28 Apr 2017, 0.00, 16.96
00Z 29 Apr 2017, 0.00, 27.54
12Z 29 Apr 2017, 0.00, 32.36
00Z 30 Apr 2017, 1.20, 3.24
12Z 30 Apr 2017, 0.00, 34.62
00Z 01 May 2017, 270.44, 37.62
12Z 01 May 2017, 0.68, 12.68
00Z 02 May 2017, 20.77, 14.44
12Z 02 May 2017, 0.00, 9.15
00Z 03 May 2017, 1.72, 12.06
12Z 03 May 2017, 0.00, 10.80
00Z 04 May 2017, 25.16, 21.59
12Z 04 May 2017, 0.00, 22.94
00Z 05 May 2017, 0.00, 12.03
12Z 05 May 2017, 0.00, 6.78
00Z 06 May 2017, 0.00, 9.43
12Z 06 May 2017, 0.00, 15.31
00Z 07 May 2017, 0.00, 8.71
12Z 07 May 2017, 0.00, 12.38
00Z 08 May 2017, 0.00, 14.66
12Z 08 May 2017, 0.00, 18.86
00Z 09 May 2017, 0.00, 27.78
12Z 09 May 2017, 0.00, 32.52
00Z 10 May 2017, 838.56, 27.85
12Z 10 May 2017, 0.00, 28.37
00Z 11 May 2017, 434.58, 37.24
12Z 11 May 2017, 0.00, 31.62
00Z 12 May 2017, 3.72, 24.92
12Z 12 May 2017, 0.00, 14.88
00Z 13 May 2017, 0.00, 14.54
12Z 13 May 2017, 0.00, 16.13
00Z 14 May 2017, 0.00, 18.85
12Z 14 May 2017, 0.00, 16.22
00Z 15 May 2017, 0.00, 23.40
12Z 15 May 2017, 0.00, 20.81
00Z 16 May 2017, 2.97, 18.18
12Z 16 May 2017, 0.41, 22.29
00Z 17 May 2017, 89.52, 21.87
12Z 17 May 2017, 0.00, 23.11
00Z 18 May 2017, 580.25, 29.80
12Z 18 May 2017, 464.31, 20.73
00Z 19 May 2017, 683.90, 25.36
15Z 19 May 2017, 0.00, 29.79
00Z 20 May 2017, 0.00, 24.77
12Z 20 May 2017, 0.00, 38.41
00Z 21 May 2017, 6.13, 25.91
12Z 21 May 2017, 0.00, 10.33
00Z 22 May 2017, 0.00, 11.59
12Z 22 May 2017, 0.00, 9.44
00Z 23 May 2017, 10.66, 25.92
12Z 23 May 2017, 0.00, 25.37
00Z 24 May 2017, 0.00, 22.64
12Z 24 May 2017, 29.58, 17.17
00Z 25 May 2017, 60.90, 21.07
12Z 25 May 2017, 0.00, 17.71
00Z 26 May 2017, 7.59, 17.68
12Z 26 May 2017, 0.00, 22.39
00Z 27 May 2017, 848.71, 35.13
12Z 27 May 2017, 0.00, 21.97
00Z 28 May 2017, 89.65, 24.97
12Z 28 May 2017, 241.34, 25.40
00Z 29 May 2017, 37.55, 18.15
12Z 29 May 2017, 0.00, 11.46
00Z 30 May 2017, 27.94, 15.58
12Z 30 May 2017, 0.00, 12.57
00Z 31 May 2017, 27.33, 15.67
12Z 31 May 2017, 0.00, 13.70
00Z 01 Jun 2017, 0.00, 8.36
12Z 01 Jun 2017, 0.00, 6.48
00Z 02 Jun 2017, 0.00, 11.35
12Z 02 Jun 2017, 0.00, 12.68
00Z 03 Jun 2017, 0.00, 15.12
12Z 03 Jun 2017, 0.00, 20.05
00Z 04 Jun 2017, 0.00, 24.83
12Z 04 Jun 2017, 100.52, 28.64
00Z 05 Jun 2017, 109.91, 29.07
12Z 05 Jun 2017, 14.16, 18.16
00Z 06 Jun 2017, 9.57, 21.16
12Z 06 Jun 2017, 0.00, 6.54
00Z 07 Jun 2017, 0.00, 11.73
12Z 07 Jun 2017, 0.00, 12.47
00Z 08 Jun 2017, 0.00, 11.12
12Z 08 Jun 2017, 0.00, 11.85
00Z 09 Jun 2017, 0.00, 16.45
12Z 09 Jun 2017, 0.00, 25.69
00Z 10 Jun 2017, 5.51, 25.97
12Z 10 Jun 2017, 0.00, 18.97
00Z 11 Jun 2017, 0.00, 19.50
12Z 11 Jun 2017, 0.00, 27.05
00Z 12 Jun 2017, 331.50, 24.54
12Z 12 Jun 2017, 0.03, 29.65
00Z 13 Jun 2017, 1508.00, 32.65
12Z 13 Jun 2017, 1766.04, 37.37
00Z 14 Jun 2017, 1251.62, 37.07
12Z 14 Jun 2017, 984.95, 38.78
21Z 14 Jun 2017, 2769.15, 43.96
12Z 15 Jun 2017, 35.81, 33.77
00Z 16 Jun 2017, 1085.31, 28.76
12Z 16 Jun 2017, 92.51, 35.62
00Z 17 Jun 2017, 2159.50, 35.57
12Z 17 Jun 2017, 135.99, 36.66
18Z 17 Jun 2017, 22.52, 35.09
00Z 18 Jun 2017, 706.34, 44.77
12Z 18 Jun 2017, 383.06, 41.27
00Z 19 Jun 2017, 54.36, 22.98
12Z 19 Jun 2017, 139.77, 23.11
00Z 20 Jun 2017, 194.17, 22.33
12Z 20 Jun 2017, 0.00, 17.74
00Z 21 Jun 2017, 27.45, 31.47
12Z 21 Jun 2017, 6.14, 35.91
00Z 22 Jun 2017, 2036.21, 46.97
12Z 22 Jun 2017, 145.07, 34.17
00Z 23 Jun 2017, 1186.15, 44.52
12Z 23 Jun 2017, 383.04, 48.93
00Z 24 Jun 2017, 0.00, 24.29
12Z 24 Jun 2017, 0.00, 19.74
00Z 25 Jun 2017, 0.00, 11.83
12Z 25 Jun 2017, 0.00, 12.32
00Z 26 Jun 2017, 15.69, 13.90
12Z 26 Jun 2017, 0.00, 16.76
00Z 27 Jun 2017, 68.69, 22.60
12Z 27 Jun 2017, 0.00, 12.13
00Z 28 Jun 2017, 0.00, 12.58
12Z 28 Jun 2017, 0.00, 23.52
00Z 29 Jun 2017, 12.76, 29.03
12Z 29 Jun 2017, 0.59, 33.75
00Z 30 Jun 2017, 1170.53, 44.50
12Z 30 Jun 2017, 360.21, 34.05
00Z 01 Jul 2017, 657.62, 31.81
12Z 01 Jul 2017, 458.28, 25.78
